source_path,size_bytes,sha256,disposition,canonical_destination,notes
Part2/DKG python/bip-frost-dkg-master/.github/workflows/main.yml,695,da0e6bfc562ba2bbbe6f9a04c2409ed7e93a53d6833cdc4df18643fcc6d3aca0,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/.gitignore,109,ed7b84e816359d17276a801802de5c362c2c572ce3e50a8670c8362b08351380,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/all.sh,93,c50db0fbf22256a74b55f0f0a250c846b8ebe41f61b49d09927b6f877adf9198,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/images/chilldkg-sequence.png,21987,cfd9c37cacfdb93efb2137b838c406e04d45dda8b33feee569e46f796b0d810d,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/images/chilldkg-sequence.txt,617,0ca9adbd8b7343beaea505f0f0e5962343012ab6e5a6866308c5552114a567c3,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/images/Makefile,142,fbd6d7a8d6db280b2d0661da41f1368ccb22768a1dc855ed2821d9c201f548a6,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/.ruff.toml,66,e565da05d8f3b714513a534d4c9c6c9437c12222a01b923069ca90eb84ff7fa7,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/chilldkg.py,32451,306fd4c156190af276ef55a09ba4ae4ee99c269b77a34afc3502fa091e392961,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/encpedpop.py,10629,ab34c53e40fa981c00ecbb24ae2f768ba59384b9d54e1a87d50f6dd4df19653d,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
Part2/DKG python/bip-frost-dkg-master/python/chilldkg_ref/simplpedpop.py,10564,70cff0edb4c1d9ac3c6ec8fd1be95fb1fe3f401f57b0d7a4c3d7be3eaf3e5416,reference-only/source-bundle,.local-reference-library/source-batches/Part2.zip,Third-party ChillDKG/reference-implementation material retained for provenance; not copied into active experiments because upstream labels it reference/test code and unsuitable for production.
