source_path,size_bytes,sha256,disposition,canonical_target,reason
Lattices/BFV_theory.ipynb,65340,c404e91c79c0774bdf38e270212e384d3a85a8d96681eeee107b950315995cf0,integrated-reworked,src/content/blog/bfv-homomorphic-encryption.md,Detailed BFV notebook converted into a corrected canonical HE article; raw notebook not carried.
Lattices/federatedml-paper-main/federatedml-paper-main/curves.sage,550,2ddb8b454bb16a894d8deb8dd360fdd4e5125e449455b906b11f83337f810601,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/curves.sage.py,873,f3cf6b84012053dad61ebe67c50f49e458662189bf26dd5af805402195464ce6,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/decr.txt,2335702,109aac0b2b79123597de84f1b23c52caed8a3d548b7c8a995a1dcd4156396f2b,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/he.py,2601,2b9ea9053f8f32c443d5815627f45a3f056dde5fb3215f687350beae1491280a,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/models/model_1.npy,592256,5683a8effbd3b22038257f4290047525d4502f44ae65710058151fd76c363fec,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/models/model_2.npy,592256,e5005824e2df56b9752fe0a3ed1d3a2cd104f74a5f853299c5a7408367f08d7b,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/models/model_3.npy,592256,7287e9e0392669dd801d44a414fc79f25a3dee9502cd692ba492dc82a561d2f3,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/models/model_4.npy,592256,9d9f9f52afe9ffbf9b987dd2dc27a143d3111792533af00e9d35cb4d9f418977,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/models/model_5.npy,592256,5479ace42749aa1bcd28178bb8be93dbc55b0aa5f4e07fc1a46c32c9c2d020a7,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/precision.txt,1069011,829417c600450c5bf3c7887d3b20846123225f8e1470addc9fd8a1f8f629f048,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/README.md,4081,71b87b29835bbd867149984e934ad2f84f8a136bd6bea46024def59b50e78f41,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/real.txt,1361779,53717ecb7b5e67e8fb9fc5c4b7829c07e33def4182bd3c45cf4f8dd8a0b419f9,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/test.sage,2010,743fc5bb0dee9bf581b61d64cc0e437c3fdcecf3dd3d3cabf21784d668a0ef3b,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/federatedml-paper-main/federatedml-paper-main/test.sage.py,4807,341f87a8ed90eee7eba6b8e73d71955bc74a0947e092437e55bc9bf64f8d15be,out-of-scope-reference,—,Federated-ML/HE experiment material is not part of the lattice learning path and is not carried into the compact master.
Lattices/Introduction-to-BFV-HE-ML-main/Introduction-to-BFV-HE-ML-main/.gitignore,1838,027aabce82a04b8af497613954c6d64609f033211feb681b3bc536c0dd0b8f40,out-of-scope-reference,—,"HE-on-ML models, checkpoints, and experiment scripts are outside the canonical lattice path and are not carried."
Lattices/Introduction-to-BFV-HE-ML-main/Introduction-to-BFV-HE-ML-main/BFV_theory/BFV_theory.ipynb,65340,c404e91c79c0774bdf38e270212e384d3a85a8d96681eeee107b950315995cf0,integrated-reworked,src/content/blog/bfv-homomorphic-encryption.md,BFV theory merged into the canonical BFV article.
