source_path,size_bytes,sha256,disposition,canonical_target,reason
2022-Ross-Course-on-Post-Quantum-Cryptography-main/.gitignore,42,7715ee51a62c2a2f89f59b203846e331d4de6030b6fc1e7dfc1e5b9d49fd774d,discarded-metadata,—,Repository metadata/minimal README adds no scientific content.
2022-Ross-Course-on-Post-Quantum-Cryptography-main/2022-06-21-135221.sagews,1443,2a31f1a71364107d873ab5a5f30bc0dad19c57640c44f2ca44edb60d66821543,superseded-scratch,experiments/lattices/ross-course/gaussian_integer_ntru.py,Broken/partial CoCalc scratch worksheet superseded by deterministic Gaussian-reduction companion.
2022-Ross-Course-on-Post-Quantum-Cryptography-main/BreakSystem1.ipynb,6873,1963a9f6cf373d12a4b8c6005186c9a13dfd502fe9725fac4f9cfd16fd7e8683,integrated-reworked,src/content/blog/gaussian-reduction-integer-ntru-analogy.md; experiments/lattices/ross-course/gaussian_integer_ntru.py,Core 2D reduction/integer-NTRU material rebuilt as a corrected canonical article and dependency-free executable.
2022-Ross-Course-on-Post-Quantum-Cryptography-main/GaussianReduction.ipynb,3633,af995ab9aa011d2cd19d23dbfcdcf728641befa4339ef2061a16a944b8374b8f,integrated-reworked,src/content/blog/gaussian-reduction-integer-ntru-analogy.md; experiments/lattices/ross-course/gaussian_integer_ntru.py,Core 2D reduction/integer-NTRU material rebuilt as a corrected canonical article and dependency-free executable.
2022-Ross-Course-on-Post-Quantum-Cryptography-main/NTRU-LLL.ipynb,19370,ccee3145c798e7d61985b0529c3f81144831bbddeaefcbd366e48e6bad335d2c,integrated-reworked,src/content/blog/ntru-lll-attack-lab.md; experiments/lattices/ross-course/ntru_lll_attack.py,NTRU lattice construction and LLL recovery merged into one validated attack lab.
2022-Ross-Course-on-Post-Quantum-Cryptography-main/NTRU-matrix.ipynb,14428,e19a9dfaab4af4be2965800910f3f26287e19e8dbe5cc975bbfe1ad1fb5eb220,integrated-reworked,src/content/blog/ntru-lll-attack-lab.md; experiments/lattices/ross-course/ntru_lll_attack.py,NTRU lattice construction and LLL recovery merged into one validated attack lab.
2022-Ross-Course-on-Post-Quantum-Cryptography-main/NTRUdemo.ipynb,8819,3fece15a92ce1fcfef75a5961bc476f87f13d3c4ac19130d539b9593715c40dd,integrated-merged,src/content/blog/ntru-lattice-cryptosystem.md; src/content/blog/ntru-lll-attack-lab.md,Toy NTRU keygen/encryption/decryption retained conceptually; stronger canonical NTRU article remains primary.
2022-Ross-Course-on-Post-Quantum-Cryptography-main/README.md,47,a6a6f6ac84d12e53533e6e0859e489a98719335159f2be78f26933295c4eb4b4,discarded-metadata,—,Repository metadata/minimal README adds no scientific content.
2022-Ross-Course-on-Post-Quantum-Cryptography-main/System1demo.ipynb,6774,0b7e1447b82c0c6719ecc49d3b78bbd07b6b7ab1d37f21014d04ad772cd28f74,integrated-reworked,src/content/blog/gaussian-reduction-integer-ntru-analogy.md; experiments/lattices/ross-course/gaussian_integer_ntru.py,Core 2D reduction/integer-NTRU material rebuilt as a corrected canonical article and dependency-free executable.
2022-Ross-Course-on-Post-Quantum-Cryptography-main/System1demo.sagews,3558,170bc5dfc0de775b54590d51465b1824f5f59c694c99d26a58bf0083ae86c5fd,superseded-duplicate,src/content/blog/gaussian-reduction-integer-ntru-analogy.md,Same one-dimensional NTRU-style toy as the notebook version; raw worksheet state not retained.
